id,produto,categoria,valor,quantidade,data
1,Notebook Dell,Eletrônicos,4500.00,2,2024-01-05
2,Mouse Logitech,Periféricos,120.00,15,2024-01-06
3,Monitor Samsung,Eletrônicos,1800.00,3,2024-01-08
4,Teclado Mecânico,Periféricos,350.00,8,2024-01-10
5,SSD 1TB,Armazenamento,450.00,12,2024-01-12
6,Webcam HD,Periféricos,200.00,6,2024-01-15
7,Headset Gamer,Periféricos,280.00,10,2024-01-18
8,Notebook Lenovo,Eletrônicos,3800.00,4,2024-01-20
9,Hub USB,Periféricos,90.00,20,2024-01-22
10,Cabo HDMI,Acessórios,35.00,50,2024-01-25
